,0,1,2,3,4
A62_03_1FE,1.125849716793188e-66,0.409618299978093,8.495908628917418e-32,3.0086142057113895e-05,8.725389077948048e-07
A19_01_1FE,0.00022662284276908805,0.37390939418044633,1.8638353778071558e-20,2.690781969234253e-23,0.03533134301762389
A85_01_1FE,3.443956681221115e-66,0.015372823489866051,0.18402541531524155,0.10467443932130516,0.049665239493882345
AS45_6,0.04588305622150923,4.928456898052519e-52,0.31741896866745556,3.28121605787576e-27,1.3328343915983718e-08
A81_03_1FE,0.01708659026927147,0.008046532501503629,0.1897531888060911,0.12174303403950885,0.0017166652974933228
AS51_18,0.27619408395985184,3.538699916528318e-86,4.467316218799401e-51,4.027999593142403e-07,1.5682519093639055e-16
A58_01_1FE,0.2559300668014591,0.00012700651162028627,4.101155976780995e-14,0.02139116561443703,1.1888272568780922e-07
AS53_18,0.20008363658073894,0.0010697896857045084,2.9991261562666095e-41,0.07991950626318794,1.7098772741139455e-32
A47_01_1FE,1.4567022750360023e-61,0.25108238129240784,0.08147941094268646,0.02802419241174174,0.03160492618270354
AS43_24,0.2505324904153226,6.526575854984722e-75,1.8963736939583667e-44,0.011232251349178856,0.022293725925803237
AS50_0,0.2750747228110201,0.0016607315536700871,2.1863161155144934e-59,7.687365999334554e-08,6.922887026133945e-72
AS44_3,0.25859076281388027,1.5170457302017675e-50,2.514172877281543e-28,0.018636059456422605,3.54474354623599e-05
A14_01_1FE,3.016683158156344e-05,0.3436625914769813,0.0001339870366872064,0.047035062759282965,1.400331318447946e-10
AS43_3,0.267168495880533,3.2197932144329744e-77,2.4234334023832253e-41,0.009059603717121905,0.000710068970382432
AS53_6,0.21739663888813449,1.3143558258430547e-79,7.547723763303622e-62,0.05930721009942656,0.004220428648137912
A11_01_1FE,2.4886832215536285e-84,0.015195064198244145,0.009256376529077267,1.1238718361007032e-24,0.383588206502855
AS45_24,0.05013713827898815,7.387231365223294e-32,0.2791616561441256,0.023769305816767287,0.0016017150327844838
AS50_6,0.27615453856283323,5.444069983405694e-79,3.9167384366174154e-35,4.232436126601488e-05,4.592498451814319e-25
A10_01_1FE,9.28979738438367e-68,0.021503894276893233,0.35274004904515505,1.9762481879952827e-18,0.00851861730044048
AS56_6,0.27183403576380205,3.3948129787525835e-69,1.0114479306692829e-47,0.004584571614921763,5.284832096720429e-05
A91_02_1FE,0.027542518030858953,0.005635139571762473,0.0385402482801892,0.22992106824710556,1.2545311941377895e-17
