epoch,train_loss,train_taxonomy_mse,train_pathways_mse,test_loss,test_taxonomy_mse,test_pathways_mse
0,233.3427507483441,12.60664937392525,18.460272929979407,230.00791931152344,20.047161102294922,33.3023567199707
1,157.59049052362857,17.3758672133736,19.09959433182426,192.15875244140625,13.57083511352539,18.16595458984375
2,123.18664258873982,12.629038420967433,18.845083054252292,185.43275451660156,19.04849624633789,15.38203239440918
3,108.12078313412874,15.851605274366296,16.84131852854853,217.0699920654297,13.053443908691406,17.619991302490234
4,98.94795711351478,15.28303334609322,16.58317923338517,190.51168823242188,13.001758575439453,13.900493621826172
5,81.70253332386847,13.26762233402418,15.140278219140095,153.14747619628906,18.36505889892578,15.128210067749023
6,64.64826447860054,16.570265065068785,17.027448090263036,207.81744384765625,21.12541389465332,11.94421100616455
7,63.06370149695355,19.972954683718473,13.992345088461171,166.5855712890625,13.791702270507812,12.93763256072998
8,55.896608037533966,16.01509065213411,13.999435640418012,166.20330810546875,14.163908004760742,12.308974266052246
9,55.27206722757091,15.474945557635763,13.840241805366848,176.59121704101562,14.958087921142578,12.175702095031738
10,52.521357727050784,15.926995816438094,13.758544490648353,185.41354370117188,13.759395599365234,11.758649826049805
11,51.63881102852199,15.592148341303286,13.419693059506624,186.3366241455078,14.312570571899414,11.64936637878418
12,54.43639984130859,16.10500728773034,13.366403214827828,211.25453186035156,13.14079761505127,11.380276679992676
13,52.65208882870881,16.391517655745798,13.4319556609444,193.3928680419922,13.875078201293945,11.38988971710205
14,54.242026818316916,16.000389712789783,13.407322941655698,181.09535217285156,13.823344230651855,11.501032829284668
15,56.0810570758322,15.766577546492867,13.681392868705418,183.41200256347656,13.44361686706543,11.458403587341309
16,52.82885403840438,16.142515000053073,13.298128725134807,207.78843688964844,12.813511848449707,11.346531867980957
17,52.442494284588356,15.501042631398077,13.231961358111837,166.6692352294922,17.387714385986328,11.587556838989258
18,54.779883840809696,15.271804411514946,13.056706727069358,175.27987670898438,20.642820358276367,12.185149192810059
19,59.56643265433934,18.031022005495817,13.748458099365234,236.0477752685547,12.183775901794434,11.060538291931152
20,54.68439034171726,16.78186110620913,13.867101868339207,195.28915405273438,13.098275184631348,11.099472045898438
21,54.27736186151919,16.497837929103685,13.45158748626709,178.92889404296875,15.44560718536377,11.188774108886719
22,49.700025989698325,15.041767145239788,12.924353259542714,178.82521057128906,16.305681228637695,10.961797714233398
23,53.80120501310929,16.038478552776834,13.106979079868482,200.5009765625,13.957258224487305,10.789813995361328
24,54.13319539609163,16.540672426638395,13.101972770690917,186.744384765625,13.207281112670898,10.907648086547852
25,53.29692532083263,15.34131614021633,12.777038798124893,159.0067901611328,14.490852355957031,11.146990776062012
26,50.65074389913808,15.590554511028788,12.718389361837636,179.5703125,14.070263862609863,10.771393775939941
27,51.32634449834409,15.880018043518067,12.678357655069103,201.54931640625,13.749307632446289,10.54582405090332
28,50.00541215979535,15.646178693356722,12.742185219474461,217.16893005371094,13.071276664733887,10.40164852142334
29,51.64532799098803,16.00045442995818,12.50921459197998,213.8239288330078,13.1160306930542,10.437797546386719
30,50.66721781855044,15.634828807996668,12.48141914865245,201.3871307373047,13.2562894821167,10.475504875183105
31,50.02716183869735,15.150577437359354,12.498644604890243,180.5617218017578,13.871614456176758,10.416046142578125
32,50.85028074513311,15.520909151823624,12.318823300237241,228.10287475585938,13.11560344696045,10.434159278869629
33,49.1838273089865,15.591502330614173,12.399891662597657,175.06748962402344,14.427124977111816,11.03183364868164
34,51.223532502547556,16.45257379283076,12.593658248237942,219.1819305419922,13.071654319763184,9.97774887084961
35,52.2683816495149,16.85785846710205,12.763909995037576,194.7169189453125,14.449912071228027,10.377906799316406
36,49.88056169592816,15.357859346140986,12.56438802636188,243.94166564941406,12.116503715515137,9.8517484664917
37,46.975777667501696,15.816470817897631,12.065867913287619,179.1023406982422,13.711146354675293,10.148050308227539
38,52.46642177415931,15.55323834626571,12.069526348943295,309.20489501953125,10.487728118896484,11.26059341430664
39,57.613885099991506,14.647506017270295,12.434447628518809,292.7508544921875,14.808570861816406,10.064290046691895
40,59.75822385705035,15.947205253269361,12.381062001767367,198.75982666015625,15.486071586608887,9.731499671936035
41,50.05255581399669,16.396076625326405,11.99221773562224,224.71694946289062,12.51002311706543,9.86181354522705
42,49.749268108865486,15.512387358624002,11.741359470201575,235.0978240966797,11.963665962219238,9.710808753967285
43,51.142903236720876,14.81358527307925,11.76866222879161,162.82803344726562,19.081409454345703,10.581954002380371
44,52.69500541687012,15.83297176361084,11.87942301708719,274.3851623535156,10.896272659301758,10.34067153930664
45,52.8052060002866,15.717538377513057,11.763052359871242,258.977783203125,12.363377571105957,9.431318283081055
46,51.53860886615256,15.534050742439602,11.51245584073274,219.1055908203125,13.104466438293457,9.745734214782715
47,50.091757268491,15.735137193099312,11.507863990120265,217.21539306640625,14.787917137145996,9.124717712402344
48,49.0326786538829,15.724706674658734,11.421296575795049,224.96568298339844,12.817211151123047,9.123778343200684
49,47.2130523018215,15.12763612166695,11.33340719471807,181.85800170898438,14.545331001281738,9.10737419128418
50,46.65343508513077,15.600004726907482,10.992468916851541,218.46047973632812,13.376362800598145,8.877866744995117
51,51.89099084605341,15.169525328926419,10.782977311507516,200.49871826171875,13.335054397583008,8.814181327819824
52,47.846236884075665,15.144038755997368,10.75614592510721,193.2622528076172,14.033514022827148,8.854690551757812
53,47.037358126433,15.151493263244628,10.855493549678636,199.29624938964844,15.33910083770752,8.656508445739746
54,44.99301867277726,15.746606785318125,10.575800787884257,210.4545135498047,12.470223426818848,9.178327560424805
